"filename", "language", "Markdown", "JSON", "JavaScript", "JavaScript JSX", "CSS", "HTML", "Properties", "comment", "blank", "total"
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\server\config\database.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 0, 3, 13
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\server\config\passport.js", "JavaScript", 0, 0, 33, 0, 0, 0, 0, 1, 4, 38
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\server\generateKeypair.js", "JavaScript", 0, 0, 18, 0, 0, 0, 0, 9, 6, 33
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\server\lib\algoliaSearch.js", "JavaScript", 0, 0, 41, 0, 0, 0, 0, 0, 5, 46
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\server\lib\authMiddleware.cjs", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\server\lib\email.js", "JavaScript", 0, 0, 114, 0, 0, 0, 0, 9, 16, 139
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\server\lib\utils.js", "JavaScript", 0, 0, 41, 0, 0, 0, 0, 25, 12, 78
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\server\models\comments.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 4, 28
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\server\models\orders.js", "JavaScript", 0, 0, 60, 0, 0, 0, 0, 0, 6, 66
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\server\models\products.js", "JavaScript", 0, 0, 53, 0, 0, 0, 0, 2, 4, 59
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\server\models\user.js", "JavaScript", 0, 0, 67, 0, 0, 0, 0, 4, 6, 77
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\server\package-lock.json", "JSON", 0, 1993, 0, 0, 0, 0, 0, 0, 1, 1994
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\server\package.json", "JSON", 0, 28, 0, 0, 0, 0, 0, 0, 1, 29
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\server\products_example\ThirdEcommerceWebsite.products.json", "JSON", 0, 413, 0, 0, 0, 0, 0, 0, 0, 413
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\server\routes\admin.js", "JavaScript", 0, 0, 166, 0, 0, 0, 0, 4, 19, 189
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\server\routes\fetch_apis.js", "JavaScript", 0, 0, 401, 0, 0, 0, 0, 25, 62, 488
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\server\routes\handleComments.js", "JavaScript", 0, 0, 222, 0, 0, 0, 0, 0, 28, 250
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\server\routes\index.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 1, 5, 18
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\server\routes\stripe_api.cjs", "JavaScript", 0, 0, 130, 0, 0, 0, 0, 1, 13, 144
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\server\routes\users.js", "JavaScript", 0, 0, 54, 0, 0, 0, 0, 3, 11, 68
"Total", "-", 55, 8759, 1545, 4241, 60, 13, 3, 299, 646, 15621
