"filename", "language", "Markdown", "JavaScript", "JavaScript JSX", "CSS", "JSON", "XML", "HTML", "Properties", "comment", "blank", "total"
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Admin\AdminComponents\AdminSubComponents\UpdateProduct.jsx", "JavaScript JSX", 0, 0, 354, 0, 0, 0, 0, 0, 8, 25, 387
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Admin\AdminComponents\AdminSubComponents\UploadData.jsx", "JavaScript JSX", 0, 0, 110, 0, 0, 0, 0, 0, 2, 15, 127
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Admin\AdminComponents\Dashboard.jsx", "JavaScript JSX", 0, 0, 16, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Admin\AdminComponents\HandleProducts.jsx", "JavaScript JSX", 0, 0, 17, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Admin\AdminComponents\Orders.jsx", "JavaScript JSX", 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Admin\AdminComponents\SideBar.jsx", "JavaScript JSX", 0, 0, 65, 0, 0, 0, 0, 0, 0, 4, 69
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\CheckoutPage\CheckoutPage.jsx", "JavaScript JSX", 0, 0, 287, 0, 0, 0, 0, 0, 0, 19, 306
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Contact\Contact.jsx", "JavaScript JSX", 0, 0, 136, 0, 0, 0, 0, 0, 0, 6, 142
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\ErrorFallback\ErrorFallback.jsx", "JavaScript JSX", 0, 0, 29, 0, 0, 0, 0, 0, 0, 5, 34
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\LandingPage\LandingPage.jsx", "JavaScript JSX", 0, 0, 22, 0, 0, 0, 0, 0, 0, 3, 25
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\LandingPage\sections\BestSellers.jsx", "JavaScript JSX", 0, 0, 68, 0, 0, 0, 0, 0, 0, 9, 77
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\LandingPage\sections\Section1.jsx", "JavaScript JSX", 0, 0, 105, 0, 0, 0, 0, 0, 0, 7, 112
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\LandingPage\sections\Section2.jsx", "JavaScript JSX", 0, 0, 81, 0, 0, 0, 0, 0, 0, 7, 88
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\LandingPage\sections\WeAreTheBest.jsx", "JavaScript JSX", 0, 0, 99, 0, 0, 0, 0, 0, 0, 3, 102
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\LandingPage\sections\data_for_section1.jsx", "JavaScript JSX", 0, 0, 21, 0, 0, 0, 0, 0, 0, 1, 22
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Login\Login.jsx", "JavaScript JSX", 0, 0, 147, 0, 0, 0, 0, 0, 0, 9, 156
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\PaymentStatus\SuccessfulPayment.jsx", "JavaScript JSX", 0, 0, 59, 0, 0, 0, 0, 0, 0, 5, 64
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Product\ProductPage.jsx", "JavaScript JSX", 0, 0, 57, 0, 0, 0, 0, 0, 0, 7, 64
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Product\sections\ProductDetails.jsx", "JavaScript JSX", 0, 0, 173, 0, 0, 0, 0, 0, 0, 11, 184
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Product\sections\ReviewsComponent.jsx", "JavaScript JSX", 0, 0, 143, 0, 0, 0, 0, 0, 0, 17, 160
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Product\sections\Section2.jsx", "JavaScript JSX", 0, 0, 46, 0, 0, 0, 0, 0, 0, 4, 50
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Product\sections\Section3.jsx", "JavaScript JSX", 0, 0, 44, 0, 0, 0, 0, 0, 0, 6, 50
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Product\sections\Section4.jsx", "JavaScript JSX", 0, 0, 103, 0, 0, 0, 0, 0, 0, 7, 110
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\client\src\pages\Profile\CheckOrder.jsx", "JavaScript JSX", 0, 0, 134, 0, 0, 0, 0, 0, 0, 12, 146
